（別添）大雨警報・注意報の土壌雨量指数基準値,,,,令和6年5月23日現在,
市町村等をまとめた地域,市町村等,地域メッシュコード（１km格子対応）,土壌雨量指数基準（注意報）,土壌雨量指数基準（警報）,
松江地区,松江市,53332186,116,148,
松江地区,松江市,53332187,116,148,
松江地区,松江市,53332188,114,145,
松江地区,松江市,53332189,110,140,
松江地区,松江市,53332190,120,152,
松江地区,松江市,53332191,124,－,
松江地区,松江市,53332194,124,－,
松江地区,松江市,53332195,124,－,
松江地区,松江市,53332197,116,147,
松江地区,松江市,53332198,115,146,
松江地区,松江市,53332199,115,－,
松江地区,松江市,53332260,114,145,
松江地区,松江市,53332261,124,158,
松江地区,松江市,53332262,112,143,
松江地区,松江市,53332263,106,135,
松江地区,松江市,53332264,109,139,
松江地区,松江市,53332270,112,142,
松江地区,松江市,53332271,113,144,
松江地区,松江市,53332272,112,142,
松江地区,松江市,53332273,111,141,
松江地区,松江市,53332274,105,133,
松江地区,松江市,53332275,98,125,
松江地区,松江市,53332276,104,－,
松江地区,松江市,53332280,106,135,
松江地区,松江市,53332281,111,141,
松江地区,松江市,53332282,111,141,
松江地区,松江市,53332283,109,139,
松江地区,松江市,53332284,105,133,
松江地区,松江市,53332285,104,132,
松江地区,松江市,53332286,99,126,
松江地区,松江市,53332290,115,－,
松江地区,松江市,53332291,115,－,
松江地区,松江市,53332292,115,－,
松江地区,松江市,53332293,115,－,
松江地区,松江市,53332294,115,－,
松江地区,松江市,53333005,120,－,
松江地区,松江市,53333007,120,152,
松江地区,松江市,53333008,121,154,
松江地区,松江市,53333009,116,148,
松江地区,松江市,53333016,120,－,
松江地区,松江市,53333017,116,148,
松江地区,松江市,53333018,116,148,
松江地区,松江市,53333019,112,142,
松江地区,松江市,53333026,111,141,
松江地区,松江市,53333027,112,142,
松江地区,安来市,52336059,115,146,
松江地区,安来市,52336068,109,139,
松江地区,安来市,52336069,127,161,
松江地区,安来市,52336079,117,149,
松江地区,安来市,52336088,109,138,
松江地区,安来市,52336089,116,147,
松江地区,安来市,52336098,104,132,
