（別添）大雨警報・注意報の土壌雨量指数基準値,,,,令和6年5月23日現在,
市町村等をまとめた地域,市町村等,地域メッシュコード（１km格子対応）,土壌雨量指数基準（注意報）,土壌雨量指数基準（警報）,
広島・呉,広島市安佐北区,51326458,87,118,
広島・呉,広島市安佐北区,51326459,85,116,
広島・呉,広島市安佐北区,51326460,88,120,
広島・呉,広島市安佐北区,51326461,89,121,
広島・呉,広島市安佐北区,51326462,89,121,
広島・呉,広島市安佐北区,51326463,88,120,
広島・呉,広島市安佐北区,51326464,88,119,
広島・呉,広島市安佐北区,51326465,88,119,
広島・呉,広島市安佐北区,51326466,87,118,
広島・呉,広島市安佐北区,51326467,86,117,
広島・呉,広島市安佐北区,51326468,86,117,
広島・呉,広島市安佐北区,51326469,85,115,
広島・呉,広島市安佐北区,51326470,88,120,
広島・呉,広島市安佐北区,51326471,88,120,
広島・呉,広島市安佐北区,51326472,89,121,
広島・呉,広島市安佐北区,51326473,90,122,
広島・呉,広島市安佐北区,51326474,89,121,
広島・呉,広島市安佐北区,51326475,88,120,
広島・呉,広島市安佐北区,51326476,88,119,
広島・呉,広島市安佐北区,51326477,86,117,
広島・呉,広島市安佐北区,51326478,85,116,
広島・呉,広島市安佐北区,51326479,85,115,
広島・呉,広島市安佐北区,51326480,87,118,
広島・呉,広島市安佐北区,51326481,88,119,
広島・呉,広島市安佐北区,51326482,88,120,
広島・呉,広島市安佐北区,51326483,89,121,
広島・呉,広島市安佐北区,51326484,90,122,
広島・呉,広島市安佐北区,51326487,87,118,
広島・呉,広島市安佐北区,51326488,86,117,
広島・呉,広島市安佐北区,51326489,85,115,
広島・呉,広島市安佐北区,51326490,87,118,
広島・呉,広島市安佐北区,51326491,87,118,
広島・呉,広島市安佐北区,51326492,88,120,
広島・呉,広島市安佐北区,51326493,88,120,
広島・呉,広島市安佐北区,51326497,87,118,
広島・呉,広島市安佐北区,51326498,86,117,
広島・呉,広島市安佐北区,51326499,85,116,
広島・呉,広島市安佐北区,51326500,86,117,
広島・呉,広島市安佐北区,51326510,86,117,
広島・呉,広島市安佐北区,51326511,86,117,
広島・呉,広島市安佐北区,51326520,85,116,
広島・呉,広島市安佐北区,51326521,86,117,
広島・呉,広島市安佐北区,51326530,85,116,
広島・呉,広島市安佐北区,51326531,85,116,
広島・呉,広島市安佐北区,51326532,85,115,
広島・呉,広島市安佐北区,51326534,86,117,
広島・呉,広島市安佐北区,51326540,85,115,
広島・呉,広島市安佐北区,51326541,85,115,
広島・呉,広島市安佐北区,51326542,85,115,
広島・呉,広島市安佐北区,51326543,85,116,
広島・呉,広島市安佐北区,51326544,85,116,
広島・呉,広島市安佐北区,51326550,85,115,
広島・呉,広島市安佐北区,51326551,85,115,
広島・呉,広島市安佐北区,51326552,85,115,
広島・呉,広島市安佐北区,51326553,85,116,
広島・呉,広島市安佐北区,51326554,85,116,
広島・呉,広島市安佐北区,51326560,85,115,
広島・呉,広島市安佐北区,51326561,85,115,
広島・呉,広島市安佐北区,51326562,85,116,
広島・呉,広島市安佐北区,51326563,86,117,
広島・呉,広島市安佐北区,51326564,86,117,
広島・呉,広島市安佐北区,51326570,84,114,
広島・呉,広島市安佐北区,51326571,85,115,
広島・呉,広島市安佐北区,51326572,85,115,
広島・呉,広島市安佐北区,51326573,85,115,
広島・呉,広島市安佐北区,51326574,85,115,
